num,Q78,Q95,Accuracy_Rate1,Q96,Q97,Accuracy_Rate2,Q84,Q100,Accuracy_Rate3,Q101,Q102,Accuracy_Rate4,Q107,Q108,Accuracy_Rate5,Q109,Q110,Accuracy_Rate6,Avg_Accuracy_Rate_1_2,Avg_Accuracy_Rate_3_4,Avg_Accuracy_Rate_5_6,team_exp_rating,ai_exp_rating,data_skill_rating
1,I would remove Cam,"Not sure, I can't tell",50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"No, Tim should not move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,75.0,75.0,100.0,HIGH,LOW,HIGH
2,"Not sure, I can't tell",I would not remove anyone,50.0,"Yes, Minh should move to Team 12","No, Nia should not move to Team 14",0.0,I would not remove anyone,I would remove Peg,50.0,"Yes, Sam should move to Team 16","No, Tim should not move to Team 18",0.0,I would not remove anyone,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,25.0,25.0,25.0,LOW,LOW,HIGH
3,I would remove Cam,I would remove Eve,50.0,"Yes, Minh should move to Team 12","Yes, Nia should move to Team 14",50.0,I would remove Ivy,I would remove Olu,0.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,50.0,25.0,0.0,LOW,LOW,HIGH
4,I would remove Cam,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would remove Ray,100.0,"Yes, Sam should move to Team 16",It doesn't matter: the change is very minor and it may create other problems,0.0,I would not remove anyone,I would not remove anyone,50.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,75.0,50.0,25.0,LOW,LOW,LOW
5,There is no impact on the team no matter who is removed from it,"Not sure, I can't tell",0.0,"No, Minh should not move to Team 12",It doesn't matter: the change is very minor and it would create other problems,50.0,I would not remove anyone,I would remove Ray,100.0,It doesn't matter: the change is very minor and it may create other problems,"No, Tim should not move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12",It doesn't matter: the change is very minor and it would create other problems,50.0,25.0,75.0,75.0,HIGH,LOW,HIGH
6,I would remove Ann,I would remove Han,0.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would remove Ivy,I would remove Olu,0.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Uma,I would remove Zach,0.0,It doesn't matter: the change is very minor and it would create other problems,"No, Sage should not move to Team 16",50.0,25.0,25.0,25.0,LOW,LOW,HIGH
7,I would remove Cam,"Not sure, I can't tell",50.0,"Yes, Minh should move to Team 12","Yes, Nia should move to Team 14",50.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,"Not sure, I can't tell","No, Tim should not move to Team 18",0.0,"Not sure, I can't tell","Not sure, I can't tell",0.0,"Yes, Rue should move to Team 12","Yes, Sage should move to Team 16",50.0,50.0,0.0,25.0,LOW,LOW,LOW
8,I would remove Cam,"Not sure, I can't tell",50.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,"Not sure, I can't tell",I would remove Ray,50.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,"Not sure, I can't tell",50.0,"No, Rue should not move to Team 12","Yes, Sage should move to Team 16",0.0,75.0,50.0,25.0,LOW,LOW,HIGH
9,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would not remove anyone,50.0,"Yes, Sam should move to Team 16","Yes, Tim should move to Team 18",50.0,I would not remove anyone,I would not remove anyone,50.0,"No, Rue should not move to Team 12","Yes, Sage should move to Team 16",0.0,100.0,50.0,25.0,LOW,LOW,HIGH
10,I would remove Cam,I would not remove anyone,100.0,"No, Minh should not move to Team 12","Yes, Nia should move to Team 14",100.0,I would not remove anyone,I would remove Ray,100.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would remove Val,I would not remove anyone,100.0,"Yes, Rue should move to Team 12","No, Sage should not move to Team 16",100.0,100.0,75.0,100.0,HIGH,HIGH,HIGH
11,I would remove Cam,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,"No, Nia should not move to Team 14",0.0,I would remove Jan,I would remove Peg,0.0,"Yes, Sam should move to Team 16",It doesn't matter: the change is very minor and it may create other problems,0.0,I would remove Yun,I would remove Cass,0.0,It doesn't matter: the change is very minor and it would create other problems,It doesn't matter: the change is very minor and it would create other problems,0.0,50.0,0.0,0.0,LOW,LOW,HIGH
12,I would remove Cam,I would not remove anyone,100.0,It doesn't matter: the change is very minor and it would create other problems,"Yes, Nia should move to Team 14",50.0,I would not remove anyone,I would not remove anyone,50.0,"No, Sam should not move to Team 16","Yes, Tim should move to Team 18",50.0,I would not remove anyone,I would not remove anyone,50.0,"Yes, Rue should move to Team 12",It doesn't matter: the change is very minor and it would create other problems,50.0,75.0,50.0,50.0,HIGH,LOW,HIGH
